,classifier,accuracy,precision,recall,f1_score,iou,accuracy_std,precision_std,recall_std,iou_std
0,U-Net,0.8826895904541016,0.9302820009486195,0.8826895904541016,0.9058611202934777,0.8169489800034232,0.11539552016407582,0.04567568839319466,0.11539552016407582,0.15399282206276446
1,Attention U-Net,0.8934693145751953,0.9391964226170638,0.8934693145751953,0.9157623967508174,0.8348291648724044,0.11121382076254768,0.039818057244400795,0.11121382076254768,0.14575203351573282
2,ResNet50-SegNet,0.8800629425048828,0.9263780971917374,0.8800629425048828,0.9026267851217044,0.8117180180659526,0.11060318717252311,0.04469321120117525,0.11060318717252311,0.1471019313166708
3,FCN32-VGG16,0.8044480895996093,0.8259596225596879,0.8044480895996093,0.8150619449347118,0.6861466338525277,0.07491620160508164,0.055117280254716725,0.07491620160508164,0.10593187438176271
4,ResUNet,0.8861356735229492,0.9324555072003381,0.8861356735229492,0.9055019964680349,0.8222504891148708,0.11406854491989714,0.04403525084556954,0.11406854491989714,0.15188251844530004
