,classifier,accuracy,precision,recall,f1_score,iou,accuracy_std,precision_std,recall_std,iou_std
0,U-Net,0.9208434740702311,0.9389684531913737,0.9208434740702311,0.9298176442520183,0.8609659082594102,0.06011874277833397,0.04252142003732148,0.06011874277833397,0.10137680848600074
1,Attention U-Net,0.9497175852457682,0.9587880091405255,0.9497175852457682,0.9542312430017751,0.9098274074305249,0.041113852351421766,0.026509823262089945,0.041113852351421766,0.06624099657418515
2,ResNet50-SegNet,0.9181686083475749,0.9373609798936077,0.9181686083475749,0.927665537518084,0.8568744638576101,0.06092736078031929,0.04282492636957787,0.06092736078031929,0.10233198895413628
3,FCN32-VGG16,0.8653162638346354,0.8983022604867749,0.8653162638346354,0.8815007838928343,0.7771591757641193,0.07206271277048384,0.05257171210170881,0.07206271277048384,0.11361534688783012
4,ResUNet,0.9227339744567871,0.9401116699892552,0.9227339744567871,0.9313417676539215,0.8642298403566094,0.05979552867260906,0.041130021838435345,0.05979552867260906,0.09962453190228965
