,classifier,accuracy,precision,recall,f1_score,iou,accuracy_std,precision_std,recall_std,iou_std
0,U-Net,0.951761360168457,0.9604498195121307,0.951761360168457,0.9560858510879613,0.9129958236411515,0.03952368910851571,0.0285394112053915,0.03952368910851571,0.06699705823873128
1,Attention U-Net,0.9487903594970704,0.9583980770610155,0.9487903594970704,0.9535700181960782,0.9078488843324967,0.0483252458298341,0.03233998651402656,0.0483252458298341,0.0794971202161209
2,ResNet50-SegNet,0.8679681777954101,0.9175694438534768,0.8679681777954101,0.8920798626990348,0.7872354969379387,0.11278786704517747,0.060688666180113364,0.11278786704517747,0.16015997137341975
3,FCN32-VGG16,0.9106870651245117,0.9137714112819603,0.9106870651245117,0.9122266310758768,0.8425316181728906,0.051115457223881715,0.04528107033807835,0.051115457223881715,0.08650298363708077
4,ResUNet,0.9364933395385742,0.9484345350344416,0.9364933395385742,0.9064190328691656,0.8858468537290619,0.0474063641148429,0.03589498960356134,0.0474063641148429,0.08251891756454192
