,classifier,accuracy,precision,recall,f1_score,iou,accuracy_std,precision_std,recall_std,iou_std
0,U-Net,0.8848515510559082,0.9180957816351863,0.8848515510559082,0.9011671740684938,0.8116211685238869,0.09566140419425904,0.04896642136853114,0.09566140419425904,0.12903656667483554
1,Attention U-Net,0.8823853174845377,0.9118819372108824,0.8823853174845377,0.896891174454195,0.8046965351961909,0.08657215348995408,0.05219039331879742,0.08657215348995408,0.12199950411094013
2,ResNet50-SegNet,0.8679706573486328,0.900040379586311,0.8679706573486328,0.8837146642072562,0.7847965501496056,0.08969550222382675,0.055133509066663595,0.08969550222382675,0.12035237775010875
3,FCN32-VGG16,0.7943352699279785,0.8185716509851542,0.7943352699279785,0.8062713662020462,0.6811549888193581,0.10254034537251594,0.06792222489537737,0.10254034537251594,0.12396254277445286
4,ResUNet,0.8727608362833659,0.923698028605735,0.8727608362833659,0.8975072902312228,0.8017177356638584,0.11645460412026716,0.044183098892625755,0.11645460412026716,0.15175011843699676
