classifier,accuracy,precision,recall,f1_score,iou,accuracy_std,precision_std,recall_std,iou_std
U-Net,0.9479009628295898,0.9558588003515582,0.9479009628295898,0.9518632494557714,0.9048681626038583,0.05337000819647741,0.04071524013761342,0.05337000819647741,0.09349816155741375
Attention U-Net,0.9544612884521484,0.9575812477212752,0.9544612884521484,0.9560187226031107,0.9159211366050355,0.038332060822229036,0.03402906460671365,0.038332060822229036,0.06799356833809049
ResNet50-SegNet,0.9508970260620118,0.9561444613174824,0.9508970260620118,0.9535135242409458,0.9091878246826861,0.044494833041061006,0.03658863486586675,0.044494833041061006,0.07940472345778087
FCN32-VGG16,0.8993587493896484,0.9027480979342094,0.8993587493896484,0.9010502363693514,0.8279429499665035,0.07499725664314046,0.07643075265908726,0.07499725664314046,0.11908147079927085
ResUNet,0.9475332260131836,0.9557978579946249,0.9475332260131836,0.9533411436546686,0.9045834849267959,0.054749960057841204,0.041384268116678086,0.054749960057841204,0.09513944751925675
